Feature,Importance
tenure,1.2149778837763776
MonthlyCharges,0.693378750877613
Contract,0.6611636423160517
TotalCharges,0.563620834812575
PhoneService,0.29830854970539267
OnlineSecurity,0.24437473310668748
TechSupport,0.22757446423125882
InternetService,0.1603230602557445
PaperlessBilling,0.1393012531179611
OnlineBackup,0.13618091742486857
Dependents,0.11005462528342547
PaymentMethod,0.08136385646162171
SeniorCitizen,0.08132517994663653
MultipleLines,0.07921490272025283
DeviceProtection,0.05699753776922839
StreamingTV,0.013162482156995952
Partner,0.011403915699604876
gender,0.00753200878677393
StreamingMovies,0.00034318657312428305
